politician,label
http://dbpedia.org/resource/Majulkrishna_Thakur,Majulkrishna Thakur
http://dbpedia.org/resource/R._Ashoka,R. Ashoka
http://dbpedia.org/resource/G._S._Basavaraj,G. S. Basavaraj
http://dbpedia.org/resource/P._C._Mohan,P. C. Mohan
http://dbpedia.org/resource/Radhe_Shyam_Gupta,Radhe Shyam Gupta
http://dbpedia.org/resource/Ram_Vilas_Vedanti,Ram Vilas Vedanti
http://dbpedia.org/resource/Sanna_Pakirappa,Sanna Pakirappa
http://dbpedia.org/resource/Ananta_Nayak,Ananta Nayak
http://dbpedia.org/resource/Nand_Kumar_Sai,Nand Kumar Sai
http://dbpedia.org/resource/Napoleon_(actor),Napoleon
http://dbpedia.org/resource/Raksha_Khadase,Raksha Khadase
http://dbpedia.org/resource/Vajubhai_Vala,Vajubhai Vala
http://dbpedia.org/resource/Vishnudeo_Sai,Vishnudeo Sai
http://dbpedia.org/resource/Pradeep_Rawat_(politician),Pradeep Rawat
http://dbpedia.org/resource/Subhash_Sureshchandra_Deshmukh,Subhash Sureshchandra Deshmukh
http://dbpedia.org/resource/Tapan_Sikdar,Tapan Sikdar
http://dbpedia.org/resource/Anurag_Thakur,Anurag Thakur
http://dbpedia.org/resource/Krishnanand_Rai,Krishnanand Rai
http://dbpedia.org/resource/Neera_Shastri,Neera Shastri
http://dbpedia.org/resource/Parsottambhai_Rupala,Parsottambhai Rupala
http://dbpedia.org/resource/Premlata_Katiyar,Premlata Katiyar
http://dbpedia.org/resource/J._P._S._Rathore,J. P. S. Rathore
http://dbpedia.org/resource/Master_Mathan,Master Mathan
http://dbpedia.org/resource/Premiership_of_Atal_Bihari_Vajpayee,Premiership of Atal Bihari Vajpayee
http://dbpedia.org/resource/Ramesh_Pokhriyal,Ramesh Pokhriyal
http://dbpedia.org/resource/Rita_Bahuguna,Rita Bahuguna
http://dbpedia.org/resource/Arun_Jaitley,Arun Jaitley
http://dbpedia.org/resource/Dharmendra,Dharmendra
http://dbpedia.org/resource/L._K._Advani,L. K. Advani
http://dbpedia.org/resource/M._J._Akbar,M. J. Akbar
http://dbpedia.org/resource/Narendra_Modi,Narendra Modi
http://dbpedia.org/resource/Ram_Naik,Ram Naik
http://dbpedia.org/resource/Uma_Bharti,Uma Bharti
http://dbpedia.org/resource/Yashwant_Sinha,Yashwant Sinha
http://dbpedia.org/resource/Bhairon_Singh_Shekhawat,Bhairon Singh Shekhawat
http://dbpedia.org/resource/Jaswant_Singh,Jaswant Singh
http://dbpedia.org/resource/Raman_Singh,Raman Singh
http://dbpedia.org/resource/Kiran_Bedi,Kiran Bedi
http://dbpedia.org/resource/Maneka_Gandhi,Maneka Gandhi
http://dbpedia.org/resource/Smriti_Irani,Smriti Irani
http://dbpedia.org/resource/Vasundhara_Raje,Vasundhara Raje
http://dbpedia.org/resource/Amal_Mahadik,Amal Mahadik
http://dbpedia.org/resource/Anant_Shet,Anant Shet
http://dbpedia.org/resource/Atul_Bhatkhalkar,Atul Bhatkhalkar
http://dbpedia.org/resource/Birendra_Singh_Rana,Birendra Singh Rana
http://dbpedia.org/resource/Dayanand_Mandrekar,Dayanand Mandrekar
http://dbpedia.org/resource/Kisan_Kathore,Kisan Kathore
http://dbpedia.org/resource/Lokendra_Singh_(politician),Lokendra Singh
http://dbpedia.org/resource/Mahadev_Naik,Mahadev Naik
http://dbpedia.org/resource/Mangal_Ram_Premi,Mangal Ram Premi
http://dbpedia.org/resource/Medha_Vishram_Kulkarni,Medha Vishram Kulkarni
http://dbpedia.org/resource/N._S._Nandiesha_Reddy,N. S. Nandiesha Reddy
http://dbpedia.org/resource/Nilesh_Cabral,Nilesh Cabral
http://dbpedia.org/resource/Pravin_Darekar,Pravin Darekar
http://dbpedia.org/resource/Pravin_Datke,Pravin Datke
http://dbpedia.org/resource/Ramesh_Tawadkar,Ramesh Tawadkar
http://dbpedia.org/resource/Ravindra_Bhusari,Ravindra Bhusari
http://dbpedia.org/resource/Sambhaji_Patil_Nilangekar,Sambhaji Patil Nilangekar
http://dbpedia.org/resource/Sanjay_Bhende,Sanjay Bhende
http://dbpedia.org/resource/Subhash_Rajan_Naik,Subhash Rajan Naik
http://dbpedia.org/resource/Sunil_Deodhar,Sunil Deodhar
http://dbpedia.org/resource/Suresh_Ganpati_Halvankar,Suresh Ganpati Halvankar
http://dbpedia.org/resource/V_Satish,V Satish
http://dbpedia.org/resource/Vimla_Batham,Vimla Batham
http://dbpedia.org/resource/Vishwas_Satarkar,Vishwas Satarkar
http://dbpedia.org/resource/Ajay_Chandrakar,Ajay Chandrakar
http://dbpedia.org/resource/Atul_Moreshwar_Save,Atul Moreshwar Save
http://dbpedia.org/resource/Balasaheb_Mahadu_Sanap,Balasaheb Mahadu Sanap
http://dbpedia.org/resource/Bamb_Prashant_Bansilal,Bamb Prashant Bansilal
http://dbpedia.org/resource/Bharat_Dangar,Bharat Dangar
http://dbpedia.org/resource/Bharati_Hemant_Lavekar,Bharati Hemant Lavekar
http://dbpedia.org/resource/Bhupendra_Singh_(politician),Bhupendra Singh
http://dbpedia.org/resource/Chandrashekhar_Bawankule,Chandrashekhar Bawankule
http://dbpedia.org/resource/Chaudhary_Manisha_Ashok,Chaudhary Manisha Ashok
http://dbpedia.org/resource/Dhanare_Paskal_Janya,Dhanare Paskal Janya
http://dbpedia.org/resource/Krishna_Khopde,Krishna Khopde
http://dbpedia.org/resource/Mahesh_Poddar,Mahesh Poddar
http://dbpedia.org/resource/Mahesh_Prabhakar_Choughule,Mahesh Prabhakar Choughule
http://dbpedia.org/resource/Milind_Mane,Milind Mane
http://dbpedia.org/resource/Narendra_Baburao_Pawar,Narendra Baburao Pawar
http://dbpedia.org/resource/Narendra_Mehta,Narendra Mehta
http://dbpedia.org/resource/Parag_Alavani,Parag Alavani
http://dbpedia.org/resource/Raj_K._Purohit,Raj K. Purohit
http://dbpedia.org/resource/Rajesh_Munat,Rajesh Munat
http://dbpedia.org/resource/Ram_Shinde,Ram Shinde
http://dbpedia.org/resource/Ranjit_Kumar_Das,Ranjit Kumar Das
http://dbpedia.org/resource/Sameer_Meghe,Sameer Meghe
http://dbpedia.org/resource/Sanjay_Mukund_Kelkar,Sanjay Mukund Kelkar
http://dbpedia.org/resource/Seema_Mahesh_Hiray,Seema Mahesh Hiray
http://dbpedia.org/resource/Siddharth_Kunkolienkar,Siddharth Kunkolienkar
http://dbpedia.org/resource/Sudhakar_Deshmukh,Sudhakar Deshmukh
http://dbpedia.org/resource/V._Muraleedharan,V. Muraleedharan
http://dbpedia.org/resource/Vijay_Kale,Vijay Kale
http://dbpedia.org/resource/Vikas_Mahatme,Vikas Mahatme
http://dbpedia.org/resource/Vipul_Goel,Vipul Goel
http://dbpedia.org/resource/Yogesh_Sagar,Yogesh Sagar
http://dbpedia.org/resource/Jitendra_Singh_(BJP_politician),Jitendra Singh
http://dbpedia.org/resource/Kunnur_Manjunath_Channappa,Kunnur Manjunath Channappa
http://dbpedia.org/resource/Manoj_Sinha,Manoj Sinha
http://dbpedia.org/resource/Neena_Verma,Neena Verma
http://dbpedia.org/resource/Pon_Radhakrishnan,Pon Radhakrishnan
